id_producto,id_proveedor,precio_compra
1,24,38.53
2,1,1.52
2,2,1.82
2,3,2.24
2,293,1.64
2,7,2.15
3,7,47.46
4,9,40.01
4,1,48.61
5,1,6.84
6,10,10.04
7,1,2.45
7,10,2.60
7,84,3.18
7,150,3.61
8,1,42.71
9,2,7.03
9,3,6.65
9,7,8.19
9,41,9.90
9,16,10.64
10,1,27.65
11,15,6.10
12,1,88.68
12,23,70.05
13,24,10.34
13,2,14.66
14,27,11.28
15,1,15.63
15,3,21.12
15,7,19.38
16,8,94.17
16,1,94.65
17,13,11.47
17,6,13.16
18,51,5.30
19,9,28.19
20,1,129.79
20,140,168.61
21,64,33.01
21,4,33.59
22,1,17.76
23,1,16.16
24,2,8.62
25,1,9.28
25,3,8.20
26,2,44.66
26,108,44.24
27,1,24.99
27,29,19.79
27,3,29.92
27,21,28.60
28,177,57.35
28,2,60.44
28,243,50.35
28,4,38.09
29,2,37.72
30,8,23.23
30,4,27.77
30,95,19.42
31,1,19.31
31,7,20.15
31,143,27.38
32,53,34.42
32,7,30.75
33,76,20.60
33,103,21.50
34,17,7.54
34,1,7.50
35,8,17.75
35,37,16.52
36,1,35.26
36,11,34.75
37,1,41.84
37,188,33.15
38,1,20.79
38,2,24.44
39,15,10.54
40,42,5.43
40,19,5.16
41,1,16.85
41,2,14.72
41,6,16.59
42,1,9.97
42,3,14.11
42,5,14.11
43,1,30.00
43,237,25.64
44,1,54.65
45,1,13.93
45,2,14.23
46,114,67.97
46,6,68.93
47,1,25.01
47,2,24.05
47,11,29.22
48,2,41.07
49,1,3.49
49,43,2.69
50,1,65.17
50,3,77.34
50,11,62.02
50,22,63.61
50,29,77.32
51,18,60.71
52,1,8.55
52,2,11.50
52,469,9.44
53,2,28.98
53,3,29.60
54,50,30.05
55,1,30.33
55,12,30.72
55,5,34.43
56,128,22.05
56,1,21.61
57,1,12.29
57,155,16.37
57,20,12.81
58,1,60.14
58,3,54.58
59,13,60.20
60,1,16.43
60,163,11.03
60,5,16.15
60,361,16.90
60,9,15.52
61,2,38.10
61,36,46.26
62,444,34.30
63,215,24.26
64,1,78.52
64,3,50.03
65,2,39.69
65,189,26.15
66,11,55.17
67,3,20.71
68,8,38.61
68,18,37.42
69,1,10.96
69,106,11.06
69,21,13.31
69,406,13.86
69,22,13.58
70,8,8.28
71,1,16.91
71,18,17.65
72,2,28.56
72,315,46.10
73,3,10.25
74,89,3.83
74,82,5.18
74,2,4.39
74,7,4.82
75,434,24.74
75,17,32.01
75,2,20.47
75,5,28.88
76,1,73.28
77,1,27.44
77,10,25.48
78,7,11.33
79,2,54.20
79,7,60.10
80,1,33.57
80,357,31.75
80,37,38.97
80,71,31.02
81,39,5.09
82,1,14.02
82,2,10.57
82,3,10.53
82,45,10.96
82,210,10.56
83,128,16.19
84,1,9.25
84,2,12.20
84,3,10.41
84,23,11.77
84,27,8.10
85,233,5.98
86,9,17.08
86,2,16.95
86,1,19.40
87,1,42.20
87,15,38.52
88,1,5.59
88,6,6.15
89,3,4.71
90,3,41.33
90,47,46.83
91,9,17.90
91,11,15.76
92,1,26.07
93,8,7.47
93,11,7.92
93,29,9.04
94,1,22.94
94,3,20.17
95,221,13.40
95,23,12.05
96,1,79.86
96,15,96.34
97,39,155.25
98,2,5.01
99,4,21.70
99,6,15.90
99,127,24.45
100,5,13.28
100,9,13.83
100,15,14.80
100,17,17.69
100,414,19.69
101,1,71.60
101,2,48.97
101,3,51.01
102,38,22.77
103,35,6.62
103,6,7.30
104,199,12.48
105,1,7.29
105,4,6.39
105,9,4.98
106,4,23.63
107,1,4.20
107,2,4.32
107,3,4.15
107,7,4.70
108,1,36.90
108,2,36.92
109,1,25.59
109,11,35.38
109,5,26.06
110,4,9.32
110,28,9.17
111,1,23.65
111,435,31.35
112,24,27.77
113,8,31.27
113,1,27.47
113,61,40.99
114,1,4.95
114,2,6.16
114,14,5.39
114,17,5.92
115,3,29.04
115,4,41.82
116,280,12.24
116,50,19.81
116,175,16.18
117,1,45.84
117,2,32.55
118,40,5.97
118,1,6.10
118,10,9.24
118,3,7.02
119,48,54.05
119,2,42.82
120,216,10.37
120,1,6.71
120,52,6.95
120,21,8.22
121,43,7.44
121,11,7.43
121,15,9.12
122,192,17.11
122,1,17.29
122,277,15.67
123,1,9.76
123,46,14.36
124,1,23.00
124,421,18.16
124,5,25.80
124,39,21.90
124,80,22.97
125,1,12.19
125,20,10.31
126,1,26.78
127,3,6.78
127,1,4.92
127,67,7.96
127,9,5.96
128,7,7.42
129,1,14.32
129,418,11.87
130,143,20.01
131,380,52.60
131,6,53.97
132,93,31.50
133,39,12.04
134,8,18.74
134,1,13.94
134,82,16.07
135,1,16.64
135,54,20.17
135,22,18.28
136,32,15.62
136,1,14.47
137,16,40.03
137,1,27.68
138,1,13.43
