insert into produtos(id_producto,nombre,categoria,precio,stock) values
1,Jardineria Eco Max 00001,Jardineria,55.04,52
2,Hogar Lite Air 00002,Hogar,2.85,112
3,Deporte Core Prime 00003,Deporte,62.16,22
4,Libros Lite Mini 00004,Libros,59.30,42
5,Instrumentos musicales Plus Home 00005,Instrumentos musicales,9.77,80
6,Hogar Studio Studio 00006,Hogar,17.08,40
7,Moda Home Pro 00007,Moda,4.44,43
8,Informatica Nova Mini 00008,Informatica,56.15,29
9,Electronica Air Pro 00009,Electronica,12.20,12
10,Hogar Core Smart 00010,Hogar,45.43,26
11,Informatica Nova Eco 00011,Informatica,8.19,42
12,Hogar Pro Prime 00012,Hogar,103.69,10
13,Deporte Home Ultra 00013,Deporte,18.63,103
14,Libros Prime Smart 00014,Libros,19.17,6
15,Instrumentos musicales Air Lite 00015,Instrumentos musicales,30.05,22
16,Moda Max Mini 00016,Moda,127.49,95
17,Informatica Nova Ultra 00017,Informatica,21.36,32
18,Hogar Plus Max 00018,Hogar,8.50,91
19,Informatica Lite Nova 00019,Informatica,36.92,88
20,Informatica Plus Pro 00020,Informatica,230.66,25
21,Hogar Mini Studio 00021,Hogar,56.63,23
22,Juguetes Eco Air 00022,Juguetes,28.67,35
23,Libros Smart Pro 00023,Libros,19.39,35
24,Libros Ultra Plus 00024,Libros,10.22,45
25,Deporte Max Eco 00025,Deporte,14.66,36
26,Deporte Home Lite 00026,Deporte,52.76,107
27,Hogar Home Lite 00027,Hogar,34.77,20
28,Informatica Lite Studio 00028,Informatica,68.96,78
29,Mascotas Prime Eco 00029,Mascotas,66.40,35
30,Electronica Mini Air 00030,Electronica,32.06,24
31,Hogar Studio Prime 00031,Hogar,31.31,22
32,Deporte Smart Plus 00032,Deporte,42.45,39
33,Jardineria Nova Smart 00033,Jardineria,32.04,24
34,Libros Lite Core 00034,Libros,9.44,18
35,Moda Core Nova 00035,Moda,20.29,17
36,Informatica Plus Ultra 00036,Informatica,42.24,16
37,Jardineria Air Mini 00037,Jardineria,50.18,17
38,Juguetes Mini Smart 00038,Juguetes,31.08,19
39,Moda Smart Mini 00039,Moda,12.90,61
40,Moda Core Plus 00040,Moda,7.54,96
41,Electronica Ultra Smart 00041,Electronica,22.40,40
42,Jardineria Core Home 00042,Jardineria,17.08,18
43,Moda Plus Prime 00043,Moda,37.63,37
44,Juguetes Air Ultra 00044,Juguetes,75.28,39
45,Moda Core Plus 00045,Moda,18.16,43
46,Electronica Smart Core 00046,Electronica,80.68,17
47,Juguetes Eco Core 00047,Juguetes,34.28,97
48,Electronica Home Studio 00048,Electronica,53.09,37
49,Hogar Eco Plus 00049,Hogar,4.24,31
50,Informatica Air Pro 00050,Informatica,89.57,91
51,Informatica Pro Lite 00051,Informatica,75.67,39
52,Hogar Core Smart 00052,Hogar,14.41,56
53,Informatica Pro Plus 00053,Informatica,33.80,11
54,Electronica Max Eco 00054,Electronica,46.21,27
55,Hogar Plus Lite 00055,Hogar,42.60,21
56,Electronica Lite Prime 00056,Electronica,28.79,39
57,Electronica Eco Plus 00057,Electronica,21.24,36
58,Moda Pro Home 00058,Moda,73.75,6
59,Informatica Max Studio 00059,Informatica,68.94,30
60,Informatica Studio Core 00060,Informatica,19.47,38
61,Electronica Air Core 00061,Electronica,53.01,44
62,Informatica Pro Eco 00062,Informatica,46.91,79
63,Instrumentos musicales Nova Eco 00063,Instrumentos musicales,35.92,35
64,Electronica Pro Mini 00064,Electronica,91.95,21
65,Jardineria Lite Lite 00065,Jardineria,48.69,84
66,Electronica Core Max 00066,Electronica,105.46,106
67,Electronica Home Home 00067,Electronica,26.93,36
68,Hogar Ultra Prime 00068,Hogar,49.80,11
69,Electronica Smart Plus 00069,Electronica,15.94,31
70,Libros Smart Max 00070,Libros,10.27,60
71,Hogar Smart Prime 00071,Hogar,24.87,22
72,Jardineria Core Home 00072,Jardineria,52.45,41
73,Informatica Studio Home 00073,Informatica,19.34,73
74,Jardineria Core Mini 00074,Jardineria,6.62,21
75,Moda Air Max 00075,Moda,39.19,26
76,Juguetes Home Ultra 00076,Juguetes,89.24,28
77,Moda Lite Plus 00077,Moda,40.22,13
78,Deporte Nova Pro 00078,Deporte,14.62,15
79,Electronica Smart Smart 00079,Electronica,74.59,14
80,Informatica Smart Prime 00080,Informatica,44.58,6
81,Informatica Ultra Home 00081,Informatica,7.38,27
82,Instrumentos musicales Smart Plus 00082,Instrumentos musicales,19.64,23
83,Electronica Mini Pro 00083,Electronica,20.59,61
84,Informatica Air Mini 00084,Informatica,15.32,81
85,Informatica Nova Nova 00085,Informatica,10.84,18
86,Moda Prime Eco 00086,Moda,23.72,111
87,Juguetes Home Air 00087,Juguetes,51.12,11
88,Moda Pro Home 00088,Moda,7.50,20
89,Hogar Home Ultra 00089,Hogar,7.77,16
90,Electronica Prime Core 00090,Electronica,72.70,59
91,Hogar Pro Studio 00091,Hogar,26.15,28
92,Informatica Eco Pro 00092,Informatica,31.38,11
93,Moda Eco Core 00093,Moda,11.32,26
94,Deporte Home Mini 00094,Deporte,33.02,10
95,Juguetes Eco Studio 00095,Juguetes,19.39,22
96,Electronica Nova Smart 00096,Electronica,132.09,52
97,Deporte Air Home 00097,Deporte,229.22,16
98,Deporte Pro Pro 00098,Deporte,6.69,37
99,Electronica Plus Air 00099,Electronica,28.53,45
100,Electronica Air Core 00100,Electronica,22.39,14
101,Libros Ultra Lite 00101,Libros,89.42,105
102,Jardineria Air Core 00102,Jardineria,28.90,22
103,Hogar Ultra Lite 00103,Hogar,9.94,25
104,Libros Smart Lite 00104,Libros,23.56,113
105,Informatica Ultra Smart 00105,Informatica,9.06,86
