insert into proveedores(id_proveedor,nombre,pais) values
1,Distribuciones Premium 0001,Portugal
2,Industrial Express 0002,Espana
3,Almacen Iberica 0003,Alemania
4,Suministros Europa 0004,Espana
5,Suministros Direct 0005,Paises Bajos
6,Distribuciones Direct 0006,Portugal
7,Logistica Partners 0007,China
8,Almacen Premium 0008,Espana
9,Logistica Europa 0009,Espana
10,Suministros Europa 0010,Paises Bajos
11,Industrial Group 0011,Portugal
12,Tecno Partners 0012,Paises Bajos
13,Suministros Iberica 0013,Espana
14,Global Europa 0014,Alemania
15,Suministros Premium 0015,Espana
16,Suministros Central 0016,Francia
17,Industrial Group 0017,Paises Bajos
18,Distribuciones Iberica 0018,Alemania
19,Comercial Iberica 0019,Paises Bajos
20,Global Central 0020,Portugal
21,Suministros Europa 0021,Polonia
22,Comercial Direct 0022,EEUU
23,Global Europa 0023,Italia
24,Logistica Group 0024,Portugal
25,Industrial Partners 0025,Francia
26,Tecno Central 0026,Portugal
27,Almacen Europa 0027,Paises Bajos
28,Distribuciones Premium 0028,Espana
29,Almacen Express 0029,Francia
30,Almacen Central 0030,Espana
31,Tecno Central 0031,Polonia
32,Almacen Premium 0032,Espana
33,Distribuciones Partners 0033,Espana
34,Suministros Iberica 0034,Portugal
35,Logistica Direct 0035,Portugal
36,Distribuciones Direct 0036,Italia
37,Global Group 0037,Alemania
38,Suministros Express 0038,Espana
39,Tecno Group 0039,Italia
40,Global Central 0040,Portugal
41,Global Group 0041,Espana
42,Tecno Partners 0042,Italia
43,Suministros Premium 0043,Francia
44,Tecno Central 0044,EEUU
45,Distribuciones Partners 0045,Italia
46,Global Central 0046,Espana
47,Suministros Iberica 0047,Francia
48,Industrial Direct 0048,Francia
49,Almacen Express 0049,Italia
50,Almacen Group 0050,Espana
51,Industrial Express 0051,Mexico
52,Distribuciones Group 0052,Paises Bajos
53,Tecno Group 0053,Espana
54,Global Direct 0054,China
55,Suministros Premium 0055,Alemania
56,Suministros Partners 0056,Espana
57,Logistica Group 0057,Portugal
58,Suministros Central 0058,Francia
59,Almacen Premium 0059,Italia
60,Comercial Iberica 0060,Francia
61,Industrial Group 0061,Espana
62,Almacen Iberica 0062,Espana
63,Suministros Central 0063,China
64,Logistica Iberica 0064,Portugal
65,Tecno Group 0065,Espana
66,Distribuciones Premium 0066,Polonia
67,Tecno Europa 0067,China
68,Industrial Europa 0068,Francia
69,Comercial Europa 0069,EEUU
70,Logistica Express 0070,Paises Bajos
71,Industrial Direct 0071,Espana
72,Tecno Premium 0072,Portugal
73,Tecno Europa 0073,Alemania
74,Tecno Europa 0074,Italia
75,Suministros Europa 0075,Alemania
76,Almacen Direct 0076,China
77,Distribuciones Europa 0077,Francia
78,Logistica Europa 0078,Espana
79,Global Direct 0079,Alemania
80,Industrial Partners 0080,EEUU
81,Tecno Direct 0081,Polonia
82,Almacen Group 0082,Espana
83,Industrial Direct 0083,Alemania
84,Suministros Iberica 0084,Francia
85,Almacen Europa 0085,Espana
86,Suministros Group 0086,Espana
87,Logistica Iberica 0087,Italia
88,Almacen Iberica 0088,Francia
89,Industrial Europa 0089,Espana
90,Almacen Europa 0090,Italia
91,Logistica Europa 0091,Francia
92,Logistica Central 0092,Alemania
93,Industrial Express 0093,Espana
94,Distribuciones Express 0094,Espana
95,Comercial Express 0095,Espana
96,Distribuciones Partners 0096,Polonia
97,Industrial Group 0097,Paises Bajos
98,Suministros Europa 0098,Espana
99,Tecno Europa 0099,Espana
100,Suministros Europa 0100,Espana
101,Global Central 0101,Italia
102,Tecno Group 0102,Espana
103,Comercial Direct 0103,Espana
104,Logistica Iberica 0104,Portugal
105,Distribuciones Central 0105,Italia
106,Comercial Central 0106,China
107,Suministros Iberica 0107,Portugal
108,Tecno Central 0108,Polonia
109,Tecno Direct 0109,Espana
110,Industrial Central 0110,Alemania
111,Tecno Partners 0111,Alemania
112,Comercial Group 0112,Francia
113,Comercial Iberica 0113,Italia
114,Almacen Partners 0114,Paises Bajos
115,Global Central 0115,Espana
116,Industrial Express 0116,EEUU
117,Almacen Premium 0117,Espana
118,Almacen Central 0118,Italia
119,Almacen Express 0119,Portugal
120,Almacen Partners 0120,Polonia
121,Logistica Premium 0121,Francia
122,Comercial Partners 0122,Polonia
123,Distribuciones Central 0123,Alemania
124,Distribuciones Express 0124,Espana
125,Suministros Iberica 0125,Espana
126,Global Iberica 0126,Espana
127,Almacen Premium 0127,Espana
128,Comercial Direct 0128,Paises Bajos
129,Comercial Central 0129,Francia
130,Global Iberica 0130,Espana
131,Tecno Express 0131,Polonia
132,Global Europa 0132,Espana
133,Comercial Express 0133,Italia
134,Logistica Central 0134,Francia
135,Almacen Iberica 0135,Alemania
136,Industrial Europa 0136,Francia
137,Logistica Central 0137,EEUU
138,Tecno Premium 0138,China
139,Comercial Express 0139,Mexico
140,Distribuciones Partners 0140,Espana
141,Logistica Premium 0141,Paises Bajos
142,Industrial Premium 0142,Mexico
143,Tecno Direct 0143,China
144,Logistica Europa 0144,Espana
145,Comercial Iberica 0145,Alemania
146,Comercial Direct 0146,Espana
147,Comercial Iberica 0147,Espana
148,Comercial Group 0148,Francia
149,Logistica Group 0149,Espana
150,Tecno Central 0150,Francia
151,Suministros Partners 0151,Francia
152,Global Express 0152,Espana
153,Industrial Group 0153,Alemania
154,Almacen Iberica 0154,Italia
155,Logistica Direct 0155,Francia
156,Distribuciones Group 0156,Espana
157,Distribuciones Express 0157,Espana
158,Distribuciones Iberica 0158,Espana
159,Tecno Europa 0159,China
160,Suministros Iberica 0160,China
161,Industrial Iberica 0161,Espana
162,Suministros Partners 0162,Espana
163,Almacen Direct 0163,Espana
164,Tecno Premium 0164,Espana
165,Almacen Partners 0165,Italia
166,Distribuciones Central 0166,Francia
167,Industrial Express 0167,Polonia
168,Comercial Express 0168,Portugal
169,Suministros Europa 0169,Mexico
170,Suministros Group 0170,Alemania
171,Industrial Partners 0171,Espana
172,Suministros Europa 0172,Espana
173,Industrial Express 0173,China
174,Tecno Partners 0174,Francia
